,vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
2736,137,"Peso Pluma, Anitta",BELLAKEO,10,115,17,9717620,False,-22,Trung bình,Dài hạn
2737,138,Sabrina Carpenter,Nonsense,17,118,63,9703677,False,-20,Trung bình,Dài hạn
2738,139,Tears For Fears,Everybody Wants To Rule The World,91,146,80,9691746,False,7,Trung bình,Dài hạn
2739,140,Linkin Park,In the End,22,128,39,9679611,False,-12,Trung bình,Dài hạn
2740,141,"Beyoncé, Willie Jones",JUST FOR FUN,141,-1,1,9639333,True,-142,Thấp,Ngắn hạn
2741,142,Eminem,Without Me,31,132,132,9617205,False,-10,Thấp,Dài hạn
2742,143,Beyoncé,RIIVERDANCE,143,-1,1,9617032,True,-144,Thấp,Ngắn hạn
2743,144,"French Montana, Swae Lee",Unforgettable,3,139,83,9594025,False,-5,Thấp,Dài hạn
2744,145,Zeynep Bastık,Lan,41,73,3,9580498,False,-72,Thấp,Ngắn hạn
2745,146,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),28,112,25,9572641,False,-34,Thấp,Dài hạn
2746,147,Morgan Wallen,Last Night,14,150,59,9544048,False,3,Thấp,Dài hạn
2747,148,Kenya Grace,Strangers,4,77,31,9482714,False,-71,Thấp,Dài hạn
2748,149,Kanye West,Heartless,76,140,39,9467330,False,-9,Thấp,Dài hạn
2749,150,Ariana Grande,eternal sunshine,15,81,4,9449494,False,-69,Thấp,Ngắn hạn
2750,151,Harry Styles,Watermelon Sugar,4,143,208,9413732,False,-8,Thấp,Dài hạn
2751,152,"Don Omar, Lucenzo",Danza Kuduro,104,142,28,9397219,False,-10,Thấp,Dài hạn
2752,153,Dua Lipa,Dance The Night - From Barbie The Album,5,121,45,9395633,False,-32,Thấp,Dài hạn
2753,154,"Rihanna, Calvin Harris",We Found Love,59,123,57,9394788,False,-31,Thấp,Dài hạn
2754,155,Doja Cat,Agora Hills,16,99,28,9364787,False,-56,Thấp,Dài hạn
2755,156,CYRIL,Stumblin' In,156,188,2,9330563,False,32,Thấp,Ngắn hạn
2756,157,Julión Álvarez y su Norteño Banda,Regalo De Dios,100,124,7,9313970,False,-33,Thấp,Trung hạn
2757,158,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),3,168,27,9310360,False,10,Thấp,Dài hạn
2758,159,"Billie Eilish, Khalid",lovely (with Khalid),24,135,311,9308650,False,-24,Thấp,Dài hạn
2759,160,Justin Bieber,Ghost,11,149,130,9269581,False,-11,Thấp,Dài hạn
2760,161,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),86,148,108,9253681,False,-13,Thấp,Dài hạn
2761,162,Junior H,ROCKSTAR,145,171,4,9182105,False,9,Thấp,Ngắn hạn
2762,163,Sophie Ellis-Bextor,Murder On The Dancefloor,13,122,14,9127438,False,-41,Thấp,Dài hạn
2763,164,Beyoncé,FLAMENCO,164,-1,1,9098725,True,-165,Thấp,Ngắn hạn
2764,165,Imagine Dragons,Believer,16,160,370,9081864,False,-5,Thấp,Dài hạn
2765,166,"The Weeknd, Lana Del Rey",Stargirl Interlude,92,170,88,9053935,False,4,Thấp,Dài hạn
2766,167,"The Academy: Segunda Misión, Sech, Justin Quiles, Lenny Tavárez, Dalex, Dímelo Flow, Myke Towers",LA RANGER (feat. Myke Towers),167,-1,1,9047349,True,-168,Thấp,Ngắn hạn
2767,168,"KAROL G, Tiësto",CONTIGO (with Tiësto),28,129,7,9045478,False,-39,Thấp,Trung hạn
2768,169,Bruno Mars,Just the Way You Are,39,154,66,9029458,False,-15,Thấp,Dài hạn
2769,170,Linkin Park,Numb,34,153,18,8999423,False,-17,Thấp,Dài hạn
2770,171,d4vd,Romantic Homicide,17,163,83,8915421,False,-8,Thấp,Dài hạn
2771,172,Bruno Mars,That's What I Like,6,106,103,8897016,False,-66,Thấp,Dài hạn
2772,173,LE SSERAFIM,EASY,55,161,6,8886339,False,-12,Thấp,Trung hạn
2773,174,Henry Moodie,drunk text,174,-1,1,8881973,True,-175,Thấp,Ngắn hạn
2774,175,iñigo quintero,Si No Estás,1,127,28,8879478,False,-48,Thấp,Dài hạn
2775,176,Keane,Somewhere Only We Know,80,176,76,8854231,False,0,Thấp,Dài hạn
2776,177,The Goo Goo Dolls,Iris,93,109,36,8845775,False,-68,Thấp,Dài hạn
2777,178,"Gabito Ballesteros, Natanael Cano",El Boss,178,-1,1,8834084,True,-179,Thấp,Ngắn hạn
2778,179,Muni Long,Made For Me,106,137,7,8829988,False,-42,Thấp,Trung hạn
2779,180,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,157,132,8828787,False,-23,Thấp,Dài hạn
2780,181,The Weeknd,Save Your Tears,2,180,168,8737576,False,-1,Thấp,Dài hạn
2781,182,Taylor Swift,august,11,147,60,8717468,False,-35,Thấp,Dài hạn
