vi_tri_xep_hang,nghe_si,ten_bai_hat,vi_tri_cao_nhat,vi_tri_tuan_truoc,so_tuan_tren_bang_xep_hang,luot_nghe,bai_hat_moi,thay_doi_thu_hang,nhom_luot_nghe,do_ben
131,TV Girl,Lovers Rock,100,127,36,9865453,False,-4,Trung bình,Dài hạn
132,Keane,Somewhere Only We Know,80,120,71,9860465,False,-12,Trung bình,Dài hạn
133,Morgan Wallen,Last Night,14,143,54,9775471,False,10,Trung bình,Dài hạn
134,LE SSERAFIM,Smart,134,-1,1,9704449,True,-135,Trung bình,Ngắn hạn
135,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin,60,142,9,9591899,False,7,Thấp,Trung hạn
136,Manuel Turizo,La Bachata,4,149,87,9552155,False,13,Thấp,Dài hạn
137,The Weeknd,Save Your Tears,2,139,163,9543147,False,2,Thấp,Dài hạn
138,"Drake, Yeat",IDGAF (feat. Yeat),5,128,21,9509501,False,-10,Thấp,Dài hạn
139,"Grupo Frontera, Bad Bunny",un x100to,1,126,46,9495493,False,-13,Thấp,Dài hạn
140,Quevedo,Columbia,7,115,34,9474002,False,-25,Thấp,Dài hạn
141,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),2,134,65,9473475,False,-7,Thấp,Dài hạn
142,Selena Gomez,Love On,142,-1,1,9386776,True,-143,Thấp,Ngắn hạn
143,"Jere Klein, Gittobeatz",ANDO,99,136,13,9363379,False,-7,Thấp,Dài hạn
144,Lana Del Rey,Summertime Sadness,83,145,81,9344732,False,1,Thấp,Dài hạn
145,Eminem,Mockingbird,24,138,72,9335607,False,-7,Thấp,Dài hạn
146,"Kanye West, Dwele",Flashing Lights,121,146,23,9304912,False,0,Thấp,Dài hạn
147,Carin Leon,Primera Cita,21,158,35,9281885,False,11,Thấp,Dài hạn
148,Arctic Monkeys,Why'd You Only Call Me When You're High?,95,137,116,9238888,False,-11,Thấp,Dài hạn
149,Taylor Swift,august,11,148,55,9237108,False,-1,Thấp,Dài hạn
150,Imagine Dragons,Believer,16,152,365,9088472,False,2,Thấp,Dài hạn
151,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,9,147,36,9060459,False,-4,Thấp,Dài hạn
152,"Rema, Selena Gomez",Calm Down (with Selena Gomez),9,151,79,9059855,False,-1,Thấp,Dài hạn
